city,loc,pop,state,zip
NEWTON CENTER,"[-71.191839, 42.318889]",18726,MA,2159
NEWTONVILLE,"[-71.208771, 42.351961]",8872,MA,2160
NEWTON HIGHLANDS,"[-71.209347, 42.318512]",6657,MA,2161
NEWTONVILLE,"[-71.258025, 42.330296]",1427,MA,2162
CAMBRIDGE,"[-71.141879, 42.364005]",0,MA,2163
NEWTON UPPER FAL,"[-71.221615, 42.312562]",2597,MA,2164
NEWTONVILLE,"[-71.22795, 42.352366]",12027,MA,2165
AUBURNDALE,"[-71.247598, 42.345928]",6123,MA,2166
BOSTON COLLEGE,"[-71.16272, 42.31903]",15619,MA,2167
WABAN,"[-71.230703, 42.327049]",5759,MA,2168
QUINCY,"[-70.997816, 42.249133]",48920,MA,2169
QUINCY,"[-71.018644, 42.26713]",18330,MA,2170
QUINCY,"[-71.024141, 42.282519]",18251,MA,2171
EAST WATERTOWN,"[-71.180266, 42.371497]",33930,MA,2172
LEXINGTON,"[-71.225916, 42.445384]",28994,MA,2173
ARLINGTON,"[-71.162517, 42.417098]",44539,MA,2174
MELROSE,"[-71.063191, 42.458066]",28228,MA,2176
BELMONT,"[-71.174647, 42.389656]",24733,MA,2178
STONEHAM,"[-71.0978, 42.482778]",22147,MA,2180
WELLESLEY,"[-71.287966, 42.305593]",26615,MA,2181
BRAINTREE,"[-70.996304, 42.209284]",33836,MA,2184
MILTON,"[-71.077051, 42.253663]",25558,MA,2186
WEYMOUTH,"[-70.958248, 42.211327]",13187,MA,2188
WEYMOUTH,"[-70.931671, 42.211606]",14055,MA,2189
WEYMOUTH,"[-70.94869, 42.172817]",17668,MA,2190
WEYMOUTH,"[-70.944318, 42.243564]",9153,MA,2191
NEEDHAM,"[-71.235172, 42.278908]",19570,MA,2192
WESTON,"[-71.300291, 42.359422]",10221,MA,2193
NEEDHAM,"[-71.234363, 42.297702]",8006,MA,2194
BOSTON,"[-71.082543, 42.347873]",886,MA,2199
BOSTON,"[-71.046511, 42.348921]",308,MA,2210
BOSTON,"[-71.102689, 42.347088]",17769,MA,2215
AVON,"[-71.043738, 42.125825]",4594,MA,2322
BRIDGEWATER,"[-70.97234, 41.977341]",21198,MA,2324
CARVER,"[-70.767754, 41.888265]",10573,MA,2330
DUXBURY,"[-70.716257, 42.039936]",13913,MA,2332
EAST BRIDGEWATER,"[-70.944964, 42.031478]",11104,MA,2333
HALIFAX,"[-70.844794, 42.000159]",6526,MA,2338
HANOVER,"[-70.857006, 42.121406]",11912,MA,2339
HANSON,"[-70.865053, 42.061627]",9037,MA,2341
HOLBROOK,"[-71.008273, 42.14641]",11041,MA,2343
MIDDLEBORO,"[-70.892965, 41.888396]",17867,MA,2346
LAKEVILLE,"[-70.958195, 41.837377]",7785,MA,2347
ABINGTON,"[-70.954293, 42.116715]",13849,MA,2351
NORTH EASTON,"[-71.112337, 42.058956]",10397,MA,2356
PEMBROKE,"[-70.804404, 42.062072]",14535,MA,2359
PLYMOUTH,"[-70.642004, 41.910404]",45629,MA,2360
KINGSTON,"[-70.740993, 41.995022]",9045,MA,2364
PLYMPTON,"[-70.804582, 41.96549]",2384,MA,2367
RANDOLPH,"[-71.051392, 42.173587]",30057,MA,2368
ROCKLAND,"[-70.913263, 42.129286]",16123,MA,2370
SOUTH EASTON,"[-71.098814, 42.025704]",9247,MA,2375
WEST BRIDGEWATER,"[-71.016054, 42.025511]",6440,MA,2379
WHITMAN,"[-70.938127, 42.081603]",13208,MA,2382
BROCKTON,"[-71.034348, 42.081571]",59498,MA,2401
BROCKTON,"[-71.001947, 42.088396]",33290,MA,2402
ONSET,"[-70.593168, 41.752918]",12047,MA,2532
CHILMARK,"[-70.741613, 41.357523]",952,MA,2535
TEATICKET,"[-70.565174, 41.58504]",15976,MA,2536
EAST SANDWICH,"[-70.46822, 41.684603]",7254,MA,2537
EAST WAREHAM,"[-70.653237, 41.768247]",4778,MA,2538
EDGARTOWN,"[-70.533893, 41.388856]",3062,MA,2539
FALMOUTH,"[-70.621663, 41.564754]",8588,MA,2540
OTIS A F B,"[-70.57383, 41.660927]",2078,MA,2542
WOODS HOLE,"[-70.66431, 41.526272]",833,MA,2543
NANTUCKET,"[-70.093216, 41.272529]",6012,MA,2554
NORTH FALMOUTH,"[-70.623043, 41.641677]",2651,MA,2556
POCASSET,"[-70.610512, 41.688115]",3907,MA,2559
SANDWICH,"[-70.469325, 41.698304]",9007,MA,2563
VINEYARD HAVEN,"[-70.593737, 41.449955]",5924,MA,2568
WAREHAM,"[-70.711594, 41.754084]",9304,MA,2571
WEST TISBURY,"[-70.655802, 41.413717]",1603,MA,2575
WEST WAREHAM,"[-70.764179, 41.779617]",3919,MA,2576
WEST YARMOUTH,"[-70.298176, 41.653682]",14543,MA,2601
BARNSTABLE,"[-70.300067, 41.698289]",1776,MA,2630
BREWSTER,"[-70.069868, 41.749179]",8535,MA,2631
CENTERVILLE,"[-70.353196, 41.660585]",10636,MA,2632
